post.date	post.location	post.dept	post.trans	post.views	post.url	city	region	bribe.paid
20	November 03 2015	Abohar, Punjab	Food, Civil Supplies and Consumer Affairs	Issue of Ration Card	65 	<pointer: 0x0000000016a1d4e0>	Abohar	Punjab	50000
21	November 03 2015	Kolkata, West Bengal	Commercial Tax, Sales Tax, VAT	C Form	103 	<pointer: 0x000000001529fee0>	Kolkata	Bengal	5e+05
22	November 02 2015	Bangalore, Karnataka	Police	Police Verification for Passport	132 	<pointer: 0x0000000016cc3960>	Bangalore	Karnataka	NA
23	November 02 2015	Adari, Uttar Pradesh	Police	Filing FIR	142 	<pointer: 0x0000000016ba2d60>	Adari	Pradesh	2
24	November 02 2015	Chandigarh, Chandigarh	Railways	Transport of Goods	163 	<pointer: 0x0000000016937660>	Chandigarh	Chandigarh	10000
25	November 02 2015	New Delhi, Delhi	Police	Traffic Violations	170 	<pointer: 0x0000000015a254f0>	New	Delhi	NA
26	November 02 2015	Durgapur, West Bengal	Commercial Tax, Sales Tax, VAT	C Form	151 	<pointer: 0x00000000161414f0>	Durgapur	Bengal	100
27	November 02 2015	Pune, Maharashtra	Others	Others	148 	<pointer: 0x0000000017730ce0>	Pune	Maharashtra	20
28	November 02 2015	Mumbai, Maharashtra	Others	Others	145 	<pointer: 0x0000000014cd8150>	Mumbai	Maharashtra	1200
29	November 02 2015	Itanagar, Arunachal Pradesh	Municipal Services	Birth Certificate	131 	<pointer: 0x0000000015113170>	Itanagar	Pradesh	100
30	November 02 2015	Vidisha, Madhya Pradesh	Municipal Services	Birth Certificate	133 	<pointer: 0x0000000017ba3d60>	Vidisha	Pradesh	464001
31	November 02 2015	Alipurduar, West Bengal	Transport	Registration of Vehicle	175 	<pointer: 0x00000000163015f0>	Alipurduar	Bengal	120200
32	November 02 2015	Kochi, Kerala	Municipal Services	Birth Certificate	185 	<pointer: 0x000000001753cb60>	Kochi	Kerala	1200
33	November 02 2015	Mahesana, Gujarat	Police	Traffic Violations	180 	<pointer: 0x0000000017070760>	Mahesana	Gujarat	10000
34	November 02 2015	Pune, Maharashtra	Income Tax	New PAN Card	183 	<pointer: 0x0000000005d6c5f0>	Pune	Maharashtra	200
35	November 02 2015	Hyderabad, Telangana	Others	Others	205 	<pointer: 0x0000000014f49ce0>	Hyderabad	Telangana	20000
36	November 02 2015	Kolkata, West Bengal	Food, Civil Supplies and Consumer Affairs	Issue of Ration Card	233 	<pointer: 0x0000000015b0a760>	Kolkata	Bengal	500
37	November 01 2015	Chennai, Tamil Nadu	Municipal Services	Birth Certificate	222 	<pointer: 0x00000000173d6160>	Chennai	Nadu	111
38	November 01 2015	Adilabad, Telangana	Municipal Services	Birth Certificate	188 	<pointer: 0x000000001535d670>	Adilabad	Telangana	200
39	November 01 2015	Abohar, Punjab	Income Tax	New PAN Card	195 	<pointer: 0x0000000015806b60>	Abohar	Punjab	2000
40	November 01 2015	Abohar, Punjab	Customs, Excise and Service Tax	Customs Check and Clearance	171 	<pointer: 0x000000001592b070>	Abohar	Punjab	100
41	November 01 2015	Abhayapuri, Assam	Municipal Services	Birth Certificate	158 	<pointer: 0x0000000017e97160>	Abhayapuri	Assam	345
42	November 01 2015	Achhnera, Uttar Pradesh	Municipal Services	Birth Certificate	148 	<pointer: 0x000000001bf82b60>	Achhnera	Pradesh	33
43	November 01 2015	Abohar, Punjab	Commercial Tax, Sales Tax, VAT	C Form	175 	<pointer: 0x000000001c08f1e0>	Abohar	Punjab	524001
44	November 01 2015	New Delhi, Delhi	Police	Traffic Violations	179 	<pointer: 0x000000001c236c60>	New	Delhi	200
45	November 01 2015	Mansa, Punjab	Municipal Services	Birth Certificate	150 	<pointer: 0x000000001c3be3e0>	Mansa	Punjab	1000
46	November 01 2015	Rae Bareli, Uttar Pradesh	Income Tax	New PAN Card	146 	<pointer: 0x000000001c4f1660>	Rae	Pradesh	108
47	November 01 2015	Dehradun, Uttarakhand	Municipal Services	Birth Certificate	128 	<pointer: 0x000000001c611f60>	Dehradun	Uttarakhand	100
48	November 01 2015	Bhopal, Madhya Pradesh	Income Tax	New PAN Card	115 	<pointer: 0x000000001c7bc8e0>	Bhopal	Pradesh	105
49	November 01 2015	Bahraich, Uttar Pradesh	Others	Others	116 	<pointer: 0x000000001c9070e0>	Bahraich	Pradesh	100
50	November 01 2015	Kollam, Kerala	Passport	Police Verification for Passport	141 	<pointer: 0x000000001c9e2cf0>	Kollam	Kerala	1000
51	November 01 2015	Tikamgarh, Madhya Pradesh	Municipal Services	Birth Certificate	114 	<pointer: 0x000000001cb379e0>	Tikamgarh	Pradesh	8120303241
52	November 01 2015	Abohar, Punjab	Commercial Tax, Sales Tax, VAT	C Form	116 	<pointer: 0x000000001cceba70>	Abohar	Punjab	12345
53	November 01 2015	Imphal, Manipur	Municipal Services	Birth Certificate	98 	<pointer: 0x000000001cdd1670>	Imphal	Manipur	50
54	November 01 2015	Adari, Uttar Pradesh	Municipal Services	Birth Certificate	84 	<pointer: 0x000000001db9f650>	Adari	Pradesh	100
55	November 01 2015	Kolar, Karnataka	Police	Filing FIR	107 	<pointer: 0x000000001dcd6ae0>	Kolar	Karnataka	10000
56	November 01 2015	Achhnera, Uttar Pradesh	Municipal Services	Birth Certificate	74 	<pointer: 0x000000001de165e0>	Achhnera	Pradesh	4552
57	November 01 2015	Achhnera, Uttar Pradesh	Customs, Excise and Service Tax	Customs Check and Clearance	84 	<pointer: 0x000000001df6f160>	Achhnera	Pradesh	100
58	November 01 2015	Tirupati, Andhra Pradesh	Passport	Police Clearance Certificate	104 	<pointer: 0x000000001e0984e0>	Tirupati	Pradesh	300
59	November 01 2015	Kolkata, West Bengal	Municipal Services	Birth Certificate	79 	<pointer: 0x000000001e1bdfe0>	Kolkata	Bengal	100
60	October 31 2015	Bangalore, Karnataka	Police	Filing FIR	131 	<pointer: 0x000000001e350770>	Bangalore	Karnataka	1000
61	October 31 2015	Jhalawar, Rajasthan	Municipal Services	Birth Certificate	103 	<pointer: 0x000000001e4ad3f0>	Jhalawar	Rajasthan	1122
62	October 31 2015	Goalpara, Assam	Municipal Services	Birth Certificate	122 	<pointer: 0x000000001e5d8bf0>	Goalpara	Assam	600
63	October 31 2015	Chittoor, Andhra Pradesh	Others	Others	137 	<pointer: 0x000000001e72a8e0>	Chittoor	Pradesh	400
64	October 31 2015	Mumbai, Maharashtra	Police	Police Clearance Certificate	132 	<pointer: 0x000000001e8a0260>	Mumbai	Maharashtra	NA
65	October 31 2015	Gurgaon, Haryana	Commercial Tax, Sales Tax, VAT	C Form	117 	<pointer: 0x000000001e9c8ee0>	Gurgaon	Haryana	1000
66	October 31 2015	Abohar, Punjab	Commercial Tax, Sales Tax, VAT	C Form	103 	<pointer: 0x000000001ebbc5e0>	Abohar	Punjab	100
67	October 31 2015	Abhayapuri, Assam	Customs, Excise and Service Tax	Customs Check and Clearance	107 	<pointer: 0x000000001ecd6460>	Abhayapuri	Assam	500
68	October 31 2015	Bangalore, Karnataka	Income Tax	New PAN Card	98 	<pointer: 0x000000001ee34570>	Bangalore	Karnataka	200
69	October 31 2015	Lucknow, Uttar Pradesh	Municipal Services	Birth Certificate	79 	<pointer: 0x000000001ef9d1e0>	Lucknow	Pradesh	1e+05
70	October 31 2015	Anantapur, Andhra Pradesh	Passport	Police Verification for Passport	103 	<pointer: 0x000000001f063860>	Anantapur	Pradesh	500
71	October 31 2015	Mumbai, Maharashtra	Municipal Services	Birth Certificate	103 	<pointer: 0x000000001f1faef0>	Mumbai	Maharashtra	50000
72	October 31 2015	Ahmedabad, Gujarat	Municipal Services	Birth Certificate	90 	<pointer: 0x000000001f324f60>	Ahmedabad	Gujarat	13
73	October 31 2015	Gorakhpur, Uttar Pradesh	Customs, Excise and Service Tax	Customs Check and Clearance	103 	<pointer: 0x000000001f46f0f0>	Gorakhpur	Pradesh	100
74	October 31 2015	Bareilly, Uttar Pradesh	Municipal Services	Birth Certificate	95 	<pointer: 0x000000001f5f3170>	Bareilly	Pradesh	10000
75	October 31 2015	Abohar, Punjab	Transport	Duplicate Registration Certificate	105 	<pointer: 0x000000001f7252f0>	Abohar	Punjab	100
76	October 31 2015	New Delhi, Delhi	Police	Traffic Violations	87 	<pointer: 0x000000001f85e260>	New	Delhi	100
77	October 31 2015	Adari, Uttar Pradesh	Municipal Services	Birth Certificate	77 	<pointer: 0x000000001f9d6df0>	Adari	Pradesh	210
78	October 31 2015	Chennai, Tamil Nadu	Food, Civil Supplies and Consumer Affairs	Issue of Ration Card	82 	<pointer: 0x000000001fb34f50>	Chennai	Nadu	100
79	October 31 2015	Nagpur, Maharashtra	Municipal Services	Birth Certificate	75 	<pointer: 0x000000001fccce60>	Nagpur	Maharashtra	40
80	October 31 2015	Hyderabad, Telangana	Others	Others	75 	<pointer: 0x000000001fdc5b70>	Hyderabad	Telangana	10000
81	October 31 2015	Akola, Madhya Pradesh	Police	Traffic Violations	72 	<pointer: 0x000000001fef7470>	Akola	Pradesh	100
82	October 31 2015	Barabanki, Uttar Pradesh	Income Tax	New PAN Card	71 	<pointer: 0x0000000020049260>	Barabanki	Pradesh	1
83	October 31 2015	Abhayapuri, Assam	Commercial Tax, Sales Tax, VAT	C Form	69 	<pointer: 0x0000000020162af0>	Abhayapuri	Assam	10
84	October 31 2015	Akola, Madhya Pradesh	Municipal Services	Birth Certificate	61 	<pointer: 0x000000002029ef60>	Akola	Pradesh	25
85	October 31 2015	Pune, Maharashtra	Stamps and Registration	Registration of Flat or Apartment	108 	<pointer: 0x0000000020445970>	Pune	Maharashtra	5000
86	October 31 2015	Bhubaneswar, Orissa	Municipal Services	Birth Certificate	64 	<pointer: 0x00000000205a86e0>	Bhubaneswar	Orissa	1
87	October 31 2015	New Delhi, Delhi	Commercial Tax, Sales Tax, VAT	VAT Registration	109 	<pointer: 0x000000002070fd70>	New	Delhi	NA
88	October 31 2015	Abhayapuri, Assam	Municipal Services	Birth Certificate	97 	<pointer: 0x0000000020845860>	Abhayapuri	Assam	100
89	October 31 2015	Abhayapuri, Assam	Municipal Services	Birth Certificate	87 	<pointer: 0x00000000209629f0>	Abhayapuri	Assam	450
90	October 31 2015	Madurai, Tamil Nadu	Income Tax	New PAN Card	94 	<pointer: 0x0000000020af7a50>	Madurai	Nadu	10
91	October 30 2015	Kozhikode, Kerala	Others	Others	124 	<pointer: 0x0000000020c2ed60>	Kozhikode	Kerala	15
92	October 30 2015	Gorakhpur, Uttar Pradesh	Municipal Services	Birth Certificate	120 	<pointer: 0x0000000020d3df70>	Gorakhpur	Pradesh	200
93	October 30 2015	Achhnera, Uttar Pradesh	Municipal Services	Birth Certificate	129 	<pointer: 0x0000000020ef88e0>	Achhnera	Pradesh	300
94	October 30 2015	Thane, Maharashtra	Municipal Services	Birth Certificate	117 	<pointer: 0x0000000020ff62f0>	Thane	Maharashtra	777
95	October 30 2015	Pune, Maharashtra	Passport	Passport Delivery	141 	<pointer: 0x000000002113a260>	Pune	Maharashtra	100
96	October 30 2015	Amritsar, Punjab	Others	Others	113 	<pointer: 0x00000000212c1370>	Amritsar	Punjab	65
97	October 30 2015	Nashik, Maharashtra	Municipal Services	Birth Certificate	99 	<pointer: 0x00000000213bb060>	Nashik	Maharashtra	5000
98	October 30 2015	Mangalore, Karnataka	Municipal Services	Birth Certificate	101 	<pointer: 0x0000000021536de0>	Mangalore	Karnataka	1995
99	October 30 2015	Abhayapuri, Assam	Municipal Services	Birth Certificate	86 	<pointer: 0x000000002167eaf0>	Abhayapuri	Assam	200
100	October 30 2015	Gonda, Uttar Pradesh	Others	Others	97 	<pointer: 0x00000000217e8970>	Gonda	Pradesh	272165
101	October 30 2015	Abohar, Punjab	Commercial Tax, Sales Tax, VAT	C Form	85 	<pointer: 0x00000000219248f0>	Abohar	Punjab	33
102	October 30 2015	Jabalpur, Madhya Pradesh	Municipal Services	Birth Certificate	97 	<pointer: 0x0000000021a821f0>	Jabalpur	Pradesh	10
103	October 30 2015	Hingoli, Maharashtra	Income Tax	New PAN Card	94 	<pointer: 0x0000000021bb8460>	Hingoli	Maharashtra	500
104	October 30 2015	Achhnera, Uttar Pradesh	Municipal Services	Birth Certificate	118 	<pointer: 0x0000000021d588e0>	Achhnera	Pradesh	800
105	October 29 2015	Mumbai, Maharashtra	Municipal Services	Birth Certificate	141 	<pointer: 0x0000000021e8bf70>	Mumbai	Maharashtra	16000
106	October 29 2015	New Delhi, Delhi	Transport	New Domestic Driving License	154 	<pointer: 0x0000000021f86c60>	New	Delhi	123
107	October 29 2015	Abhayapuri, Assam	Municipal Services	Birth Certificate	124 	<pointer: 0x00000000221737f0>	Abhayapuri	Assam	5000
108	October 29 2015	Pimpri-Chinchwad, Maharashtra	Municipal Services	Birth Certificate	107 	<pointer: 0x00000000222b5470>	Pimpri-Chinchwad	Maharashtra	1000
109	October 29 2015	Ambattur, Tamil Nadu	Others	Others	126 	<pointer: 0x0000000022404460>	Ambattur	Nadu	500
110	October 29 2015	Cooch Behar, West Bengal	Others	Others	119 	<pointer: 0x000000002251a0f0>	Cooch	Bengal	2000
111	October 29 2015	Surat, Gujarat	Police	Traffic Violations	129 	<pointer: 0x00000000226974f0>	Surat	Gujarat	50
112	October 29 2015	Chennai, Tamil Nadu	Stamps and Registration	Marriage Registration	222 	<pointer: 0x000000002280cb60>	Chennai	Nadu	5000
113	October 29 2015	Katihar, Bihar	Others	Others	121 	<pointer: 0x000000002291c3f0>	Katihar	Bihar	123456
114	October 29 2015	Adilabad, Telangana	Income Tax	New PAN Card	153 	<pointer: 0x0000000022a92f50>	Adilabad	Telangana	8
115	October 28 2015	Gwalior, Madhya Pradesh	Labour	Inspection of Office or Factories	158 	<pointer: 0x0000000022be5c60>	Gwalior	Pradesh	1948
116	October 28 2015	Thiruvananthapuram, Kerala	Municipal Services	Birth Certificate	173 	<pointer: 0x0000000022d018f0>	Thiruvananthapuram	Kerala	1000
117	October 28 2015	Visakhapatnam, Andhra Pradesh	Municipal Services	Non Availability Certificate	176 	<pointer: 0x0000000022e2d460>	Visakhapatnam	Pradesh	3000
118	October 28 2015	Cuddapah, Andhra Pradesh	Commercial Tax, Sales Tax, VAT	C Form	177 	<pointer: 0x0000000022f548f0>	Cuddapah	Pradesh	10
119	October 28 2015	Guwahati, Assam	Others	Others	163 	<pointer: 0x00000000230f5370>	Guwahati	Assam	10000
120	October 28 2015	Sambalpur, Orissa	Others	Others	159 	<pointer: 0x000000002321d360>	Sambalpur	Orissa	1200
121	October 28 2015	Kochi, Kerala	Customs, Excise and Service Tax	Customs Check and Clearance	184 	<pointer: 0x000000002333dee0>	Kochi	Kerala	1000
122	October 28 2015	Amarpur, Bihar	Municipal Services	Birth Certificate	173 	<pointer: 0x000000002344e7f0>	Amarpur	Bihar	5000
123	October 27 2015	Achhnera, Uttar Pradesh	Commercial Tax, Sales Tax, VAT	C Form	196 	<pointer: 0x000000002361e5f0>	Achhnera	Pradesh	34
124	October 27 2015	Pune, Maharashtra	Police	Police Harassment	203 	<pointer: 0x0000000023765f60>	Pune	Maharashtra	1000
125	October 27 2015	Achhnera, Uttar Pradesh	Municipal Services	Birth Certificate	185 	<pointer: 0x00000000238affe0>	Achhnera	Pradesh	5000
126	October 27 2015	Goalpara, Assam	Others	Others	167 	<pointer: 0x0000000023a6ead0>	Goalpara	Assam	1111
127	October 27 2015	Siliguri, West Bengal	Municipal Services	Birth Certificate	155 	<pointer: 0x0000000023b61960>	Siliguri	Bengal	23
128	October 27 2015	Mumbai, Maharashtra	Customs, Excise and Service Tax	Customs Check and Clearance	172 	<pointer: 0x0000000023cd50f0>	Mumbai	Maharashtra	50
129	October 27 2015	Shahabad, Hardoi, Uttar Pradesh	Commercial Tax, Sales Tax, VAT	C Form	171 	<pointer: 0x0000000023e662e0>	Shahabad	Pradesh	200
130	October 27 2015	Abohar, Punjab	Municipal Services	Birth Certificate	174 	<pointer: 0x0000000023f670f0>	Abohar	Punjab	100
131	October 27 2015	Jaipur, Rajasthan	Commercial Tax, Sales Tax, VAT	C Form	160 	<pointer: 0x00000000240b8f70>	Jaipur	Rajasthan	10
132	October 27 2015	Haveri, Karnataka	Municipal Services	Registration of Land	236 	<pointer: 0x000000002422e770>	Haveri	Karnataka	NA
133	October 27 2015	Gwalior, Madhya Pradesh	Passport	Passport Delivery	166 	<pointer: 0x000000002434c2e0>	Gwalior	Pradesh	100
134	October 27 2015	Achhnera, Uttar Pradesh	Municipal Services	Birth Certificate	177 	<pointer: 0x00000000244d44f0>	Achhnera	Pradesh	5000
135	October 26 2015	Mumbai, Maharashtra	Municipal Services	Birth Certificate	171 	<pointer: 0x00000000245abc60>	Mumbai	Maharashtra	10000
136	October 26 2015	Madurai, Tamil Nadu	Education	School or College Related Activities	184 	<pointer: 0x00000000247439f0>	Madurai	Nadu	NA
137	October 26 2015	Mumbai, Maharashtra	Municipal Services	Birth Certificate	178 	<pointer: 0x000000002487b5e0>	Mumbai	Maharashtra	400054
138	October 26 2015	New Delhi, Delhi	Stamps and Registration	Marriage Certificate	207 	<pointer: 0x0000000024a074e0>	New	Delhi	46
139	October 26 2015	Tezpur, Assam	Others	Others	163 	<pointer: 0x0000000024b03260>	Tezpur	Assam	18
140	October 26 2015	Mumbai, Maharashtra	Municipal Services	Birth Certificate	154 	<pointer: 0x0000000024c64870>	Mumbai	Maharashtra	10
141	October 26 2015	Bhubaneswar, Orissa	Transport	Registration of Vehicle	189 	<pointer: 0x0000000024db06e0>	Bhubaneswar	Orissa	3500
142	October 26 2015	Etawah, Uttar Pradesh	Police	Police Harassment	166 	<pointer: 0x0000000024f240f0>	Etawah	Pradesh	123
143	October 26 2015	New Delhi, Delhi	Municipal Services	Birth Certificate	140 	<pointer: 0x0000000024fc5670>	New	Delhi	2e+05
144	October 26 2015	Bangalore, Karnataka	Police	Police Harassment	157 	<pointer: 0x00000000251b2e60>	Bangalore	Karnataka	100
145	October 26 2015	Madurai, Tamil Nadu	Police	Traffic Violations	181 	<pointer: 0x00000000252b9f60>	Madurai	Nadu	625000
146	October 26 2015	Indore, Madhya Pradesh	Others	Others	141 	<pointer: 0x000000002544e0e0>	Indore	Pradesh	1
147	October 26 2015	Anandnagaar, Assam	Municipal Services	Birth Certificate	134 	<pointer: 0x0000000025599760>	Anandnagaar	Assam	15000
148	October 26 2015	Kolkata, West Bengal	Municipal Services	Birth Certificate	124 	<pointer: 0x0000000025696f60>	Kolkata	Bengal	10
149	October 26 2015	Gulbarga, Karnataka	Municipal Services	Birth Certificate	128 	<pointer: 0x0000000025834d60>	Gulbarga	Karnataka	23
150	October 26 2015	Abhayapuri, Assam	Railways	Transport of Goods	153 	<pointer: 0x0000000025974ff0>	Abhayapuri	Assam	20
151	October 26 2015	Abhayapuri, Assam	Customs, Excise and Service Tax	Customs Check and Clearance	149 	<pointer: 0x0000000025c12370>	Abhayapuri	Assam	13
152	October 26 2015	Gurgaon, Haryana	Municipal Services	Birth Certificate	118 	<pointer: 0x0000000025db32f0>	Gurgaon	Haryana	10
153	October 26 2015	Bangalore, Karnataka	Police	Traffic Violations	172 	<pointer: 0x0000000025eeea60>	Bangalore	Karnataka	300
154	October 25 2015	Abhayapuri, Assam	Commercial Tax, Sales Tax, VAT	C Form	170 	<pointer: 0x0000000025ff27e0>	Abhayapuri	Assam	7000
155	October 25 2015	Chikmagalur, Karnataka	Revenue	Urban Land Ceiling Clearance Certificate	172 	<pointer: 0x00000000261db2f0>	Chikmagalur	Karnataka	NA
156	October 25 2015	Chikmagalur, Karnataka	Stamps and Registration	Land Registration	454 	<pointer: 0x00000000262b89e0>	Chikmagalur	Karnataka	35000
157	October 25 2015	New Delhi, Delhi	Passport	Police Verification for Passport	275 	<pointer: 0x0000000026466670>	New	Delhi	NA
158	October 25 2015	Pune, Maharashtra	Municipal Services	Birth Certificate	186 	<pointer: 0x000000002659ee60>	Pune	Maharashtra	120
159	October 25 2015	Hyderabad, Telangana	Airports	Immigration Check	214 	<pointer: 0x0000000026685c70>	Hyderabad	Telangana	NA
160	October 25 2015	Hyderabad, Telangana	Municipal Services	Birth Certificate	206 	<pointer: 0x000000002680eae0>	Hyderabad	Telangana	100
161	October 25 2015	Chennai, Tamil Nadu	Municipal Services	Birth Certificate	216 	<pointer: 0x00000000269a20e0>	Chennai	Nadu	25
162	October 25 2015	Aurangabad, Maharashtra	Municipal Services	Birth Certificate	195 	<pointer: 0x0000000026a86c60>	Aurangabad	Maharashtra	5e+05
163	October 24 2015	Ulhasnagar, Maharashtra	Municipal Services	Birth Certificate	181 	<pointer: 0x0000000026c787f0>	Ulhasnagar	Maharashtra	100
164	October 24 2015	Chennai, Tamil Nadu	Income Tax	New PAN Card	217 	<pointer: 0x0000000026d72a70>	Chennai	Nadu	2000
165	October 24 2015	New Delhi, Delhi	Police	Traffic Violations	230 	<pointer: 0x0000000026e93a60>	New	Delhi	100
166	October 24 2015	Thiruvananthapuram, Kerala	Municipal Services	Birth Certificate	179 	<pointer: 0x0000000026ff8670>	Thiruvananthapuram	Kerala	1999
167	October 24 2015	Kolkata, West Bengal	Municipal Services	Birth Certificate	171 	<pointer: 0x00000000271351e0>	Kolkata	Bengal	3e+05
168	October 24 2015	Chennai, Tamil Nadu	Municipal Services	Birth Certificate	175 	<pointer: 0x00000000272e31e0>	Chennai	Nadu	100
169	October 24 2015	Mumbai, Maharashtra	Stamps and Registration	Registration of Property	230 	<pointer: 0x00000000273b7770>	Mumbai	Maharashtra	8e+05
170	October 24 2015	Abhayapuri, Assam	Municipal Services	Birth Certificate	182 	<pointer: 0x0000000027505f70>	Abhayapuri	Assam	100
171	October 24 2015	New Delhi, Delhi	Transport	Duplicate Registration Certificate	240 	<pointer: 0x00000000276adaf0>	New	Delhi	248
172	October 24 2015	Dadri, Uttar Pradesh	Others	Others	184 	<pointer: 0x00000000277f47f0>	Dadri	Pradesh	123456
173	October 24 2015	Bhopal, Madhya Pradesh	Municipal Services	Birth Certificate	157 	<pointer: 0x0000000027949c70>	Bhopal	Pradesh	10
174	October 24 2015	Lucknow, Uttar Pradesh	Police	Filing FIR	174 	<pointer: 0x0000000027b1f250>	Lucknow	Pradesh	500
175	October 24 2015	Mumbai, Maharashtra	Municipal Services	Birth Certificate	152 	<pointer: 0x0000000027bbace0>	Mumbai	Maharashtra	12000
176	October 24 2015	Ghaziabad, Uttar Pradesh	Police	Lodging Police Complaint	178 	<pointer: 0x0000000027d51be0>	Ghaziabad	Pradesh	NA
177	October 24 2015	Adilabad, Telangana	Municipal Services	Birth Certificate	132 	<pointer: 0x0000000027e596f0>	Adilabad	Telangana	100
178	October 24 2015	Abhayapuri, Assam	Municipal Services	Birth Certificate	143 	<pointer: 0x0000000027f963e0>	Abhayapuri	Assam	150
179	October 24 2015	Gwalior, Madhya Pradesh	Customs, Excise and Service Tax	Customs Check and Clearance	127 	<pointer: 0x00000000281299e0>	Gwalior	Pradesh	100
180	October 24 2015	Mumbai, Maharashtra	Income Tax	New PAN Card	177 	<pointer: 0x0000000028228270>	Mumbai	Maharashtra	100
181	October 23 2015	Indore, Madhya Pradesh	Municipal Services	Birth Certificate	164 	<pointer: 0x00000000283bbef0>	Indore	Pradesh	1
182	October 23 2015	Abhayapuri, Assam	Municipal Services	Birth Certificate	154 	<pointer: 0x00000000284e92f0>	Abhayapuri	Assam	1200
183	October 23 2015	Abhayapuri, Assam	Others	Others	175 	<pointer: 0x00000000286790e0>	Abhayapuri	Assam	6000
184	October 23 2015	Abohar, Punjab	Stamps and Registration	Marriage Certificate	222 	<pointer: 0x00000000287d1460>	Abohar	Punjab	50000
185	October 23 2015	Surat, Gujarat	Municipal Services	Birth Certificate	159 	<pointer: 0x00000000289129f0>	Surat	Gujarat	15111
186	October 23 2015	Shivpuri, Madhya Pradesh	Municipal Services	Birth Certificate	138 	<pointer: 0x0000000028a3c7e0>	Shivpuri	Pradesh	100
187	October 23 2015	Pune, Maharashtra	Municipal Services	Birth Certificate	139 	<pointer: 0x0000000028b78be0>	Pune	Maharashtra	50
188	October 23 2015	New Delhi, Delhi	Commercial Tax, Sales Tax, VAT	C Form	179 	<pointer: 0x0000000028cb19e0>	New	Delhi	120
189	October 23 2015	Belgaum, Karnataka	Others	Others	154 	<pointer: 0x0000000028e792e0>	Belgaum	Karnataka	300
190	October 23 2015	Palasa Kasibugga, Andhra Pradesh	Customs, Excise and Service Tax	Customs Check and Clearance	152 	<pointer: 0x0000000028f52e60>	Palasa	Pradesh	10
191	October 23 2015	Agartala, Tripura	Municipal Services	Birth Certificate	116 	<pointer: 0x0000000029158ff0>	Agartala	Tripura	1000
192	October 23 2015	Uttara Kannada, Karnataka	Municipal Services	Birth Certificate	127 	<pointer: 0x00000000292684e0>	Uttara	Karnataka	15000
193	October 23 2015	Maldah, West Bengal	Others	Others	145 	<pointer: 0x00000000293a77f0>	Maldah	Bengal	10
194	October 23 2015	Madurai, Tamil Nadu	Income Tax	New PAN Card	150 	<pointer: 0x0000000029538d70>	Madurai	Nadu	250000
195	October 23 2015	Abhayapuri, Assam	Municipal Services	Birth Certificate	132 	<pointer: 0x000000002961dae0>	Abhayapuri	Assam	2500
